ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,1
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,1
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,1
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,1
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,1
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,1
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,1
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,1
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,1
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,1
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,1
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,1
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,1
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,1
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,2
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,2
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,2
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,2
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,2
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,2
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,2
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,2
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,2
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,2
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,2
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,2
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,2
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,2
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,3
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,3
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,3
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,3
