ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
1,15,15,5,0|7|0,14|7|0,14|6|0-14|9|0,50-50,10,x,1-1,1,1,2,0,1000,0
2,15,15,5,0|7|0,14|7|0,14|6|0-14|9|0,50-50,10,x,1-1,0,1,5,0,1000,0
3,300,300,5,0|150|0,250|150|0,280|145|0-280|155|0,50-50,10,x,1-1,1,1,2,0,1000,0
4,300,300,5,0|150|0,250|150|0,280|145|0-280|155|0,50-50,10,x,1-1,0,1,5,0,1000,0
5,600,600,5,0|300|0,500|300|0,560|350|0-560|250|0,50-50,10,x,1-1,1,1,2,0,1000,0
6,600,600,5,0|300|0,500|300|0,560|350|0-560|250|0,50-50,10,x,1-1,0,1,5,0,1000,0
7,1500,1500,5,0|750|0,1300|750|0,1400|850|0-1400|600|0,50-50,10,x,1-1,1,1,2,0,1000,0
8,1500,1500,5,0|750|0,1300|750|0,1400|850|0-1400|600|0,50-50,10,x,1-1,0,1,5,0,1000,0
9,3000,3000,5,0|1500|0,2500|1500|0,2700|1400|0-2700|1600|0,50-50,10,x,1-1,1,1,2,0,1000,0
10,3000,3000,5,0|1500|0,2500|1500|0,2700|1400|0-2700|1600|0,50-50,10,x,1-1,0,1,5,0,1000,0


1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,71
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,18
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,2
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,7
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,5
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,13
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,11
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,201
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,101
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,111
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,221
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,331
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,551
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,771
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,881
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,991
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,123
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,852
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,258
1,501,300,5,0|150|0,500|150|0,325|100|0-325|120|0-325|140|0-325|160|0,25-25-25-25,1,x,1-1-1-1,-1,1,2,0,30,99
