ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,1
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,1
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,1
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,1
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,1
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,1
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,1
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,1
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,1
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,1
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,1
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,1
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,0
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,0
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,0
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,0
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,0
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,0
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,0
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,0
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,0
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,0
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,0
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,0
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,2
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,2
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,2
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,2
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,2
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,2
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,2
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,2
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,2
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,2
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,2
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,2
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,3
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,3
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,3
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,3
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,3
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,3
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,3
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,3
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,3
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,3
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,3
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,3
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,4
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,4
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,4
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,4
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,4
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,4
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,4
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,4
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,4
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,4
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,4
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,4
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,40
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,40
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,40
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,40
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,40
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,40
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,40
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,40
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,40
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,40
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,40
